"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2023&end=2024&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat May 17 2025 17:01:09 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"Pennsylvania : nuclear","thousand megawatthours","ELEC.GEN.NUC-PA-99.A",75305,75404
"Pennsylvania : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-PA-99.A",2783,2835
"Pennsylvania : other renewables",,"ELEC.GEN.AOR-PA-99.A",,
"Pennsylvania : wind","thousand megawatthours","ELEC.GEN.WND-PA-99.A",3258,3576
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-99.A",361,1195
"Pennsylvania : geothermal","thousand megawatthours","ELEC.GEN.GEO-PA-99.A","--","--"
"Pennsylvania : biomass","thousand megawatthours","ELEC.GEN.BIO-PA-99.A",1532,1506
"Pennsylvania : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-PA-99.A",265,255
"Pennsylvania : other biomass","thousand megawatthours","ELEC.GEN.WAS-PA-99.A",1266,1251
"Pennsylvania : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-PA-99.A",-905,-909
"Pennsylvania : other","thousand megawatthours","ELEC.GEN.OTH-PA-99.A",874,872
"Pennsylvania : all solar","thousand megawatthours","ELEC.GEN.TSN-PA-99.A",1389,2189
"Pennsylvania : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-PA-99.A",1029,994
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-99.A",361,1195
"East North Central",,"ELEC.GEN..A",,
"East North Central : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ENC-99.A",584213,614055
"East North Central : coal","thousand megawatthours","ELEC.GEN.COW-ENC-99.A",144159,144319
"East North Central : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ENC-99.A",383,408
"East North Central : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ENC-99.A",2235,2244
"East North Central : natural gas","thousand megawatthours","ELEC.GEN.NG-ENC-99.A",221688,238530
"East North Central : other gases","thousand megawatthours","ELEC.GEN.OOG-ENC-99.A",4684,3479
"East North Central : nuclear","thousand megawatthours","ELEC.GEN.NUC-ENC-99.A",151445,153586
"East North Central : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ENC-99.A",4384,4304
"East North Central : other renewables",,"ELEC.GEN.AOR-ENC-99.A",,
"East North Central : wind","thousand megawatthours","ELEC.GEN.WND-ENC-99.A",43502,48848
"East North Central : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ENC-99.A",7694,14682
"East North Central : geothermal","thousand megawatthours","ELEC.GEN.GEO-ENC-99.A","--","--"
"East North Central : biomass","thousand megawatthours","ELEC.GEN.BIO-ENC-99.A",3873,3732
"East North Central : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-ENC-99.A",2083,2084
"East North Central : other biomass","thousand megawatthours","ELEC.GEN.WAS-ENC-99.A",1791,1648
"East North Central : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ENC-99.A",-810,-976
"East North Central : other","thousand megawatthours","ELEC.GEN.OTH-ENC-99.A",977,899
"East North Central : all solar","thousand megawatthours","ELEC.GEN.TSN-ENC-99.A",10580,18211
"East North Central : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ENC-99.A",2887,3530
"East North Central : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ENC-99.A",7694,14682
"Illinois",,"ELEC.GEN..A",,
"Illinois : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IL-99.A",177738,186092
"Illinois : coal","thousand megawatthours","ELEC.GEN.COW-IL-99.A",27150,26972
"Illinois : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IL-99.A",26,23
"Illinois : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IL-99.A",0,0
"Illinois : natural gas","thousand megawatthours","ELEC.GEN.NG-IL-99.A",28445,32012
"Illinois : other gases","thousand megawatthours","ELEC.GEN.OOG-IL-99.A",248,176
